"Quarter","Quarterly production of raw steel in Australia: thousand tonnes. Mar 1956 ? Sep 1992"
"1956Q1",590.8
"1956Q2",619.3
"1956Q3",657.4
"1956Q4",712.3
"1957Q1",743.2
"1957Q2",736.5
"1957Q3",792.4
"1957Q4",756.4
"1958Q1",763.7
"1958Q2",789.7
"1958Q3",816.4
"1958Q4",813.1
"1959Q1",800.6
"1959Q2",861.1
"1959Q3",870.5
"1959Q4",917.4
"1960Q1",871.6
"1960Q2",929.7
"1960Q3",969.3
"1960Q4",982.4
"1961Q1",879.9
"1961Q2",1002.5
"1961Q3",1048.6
"1961Q4",1016
"1962Q1",1011.8
"1962Q2",1059.6
"1962Q3",1068.7
"1962Q4",1097
"1963Q1",1071.4
"1963Q2",1117.4
"1963Q3",1245.7
"1963Q4",1218.9
"1964Q1",1240
"1964Q2",1197.5
"1964Q3",1333.3
"1964Q4",1276.6
"1965Q1",1250.2
"1965Q2",1259.7
"1965Q3",1473.1
"1965Q4",1476
"1966Q1",1338.8
"1966Q2",1427
"1966Q3",1517.3
"1966Q4",1606.7
"1967Q1",1506
"1967Q2",1563.7
"1967Q3",1625.8
"1967Q4",1569.9
"1968Q1",1571.8
"1968Q2",1606.4
"1968Q3",1606.6
"1968Q4",1716.5
"1969Q1",1731.5
"1969Q2",1709.3
"1969Q3",1758.1
"1969Q4",1817.6
"1970Q1",1600.8
"1970Q2",1701.6
"1970Q3",1755.5
"1970Q4",1763.5
"1971Q1",1624.1
"1971Q2",1650.7
"1971Q3",1777.7
"1971Q4",1684.1
"1972Q1",1520.1
"1972Q2",1525.7
"1972Q3",1785.4
"1972Q4",1902.2
"1973Q1",1785.6
"1973Q2",1746.9
"1973Q3",2058.8
"1973Q4",2091.1
"1974Q1",2005.4
"1974Q2",1593.3
"1974Q3",1929.9
"1974Q4",2226.3
"1975Q1",2030.3
"1975Q2",1876.5
"1975Q3",2023.4
"1975Q4",1913.3
"1976Q1",1961.3
"1976Q2",2039.2
"1976Q3",1960.2
"1976Q4",1813.2
"1977Q1",1809
"1977Q2",1890.7
"1977Q3",1823.2
"1977Q4",1789.8
"1978Q1",1946.5
"1978Q2",1973.1
"1978Q3",1770.5
"1978Q4",1898.5
"1979Q1",1897.9
"1979Q2",1973.8
"1979Q3",2096.3
"1979Q4",2157.2
"1980Q1",2048.9
"1980Q2",1592.7
"1980Q3",2034.5
"1980Q4",1916.8
"1981Q1",2053.3
"1981Q2",1947.3
"1981Q3",1992.6
"1981Q4",1641
"1982Q1",1788.3
"1982Q2",1848
"1982Q3",1535.1
"1982Q4",1199.4
"1983Q1",1218
"1983Q2",1353.6
"1983Q3",1432
"1983Q4",1534
"1984Q1",1538
"1984Q2",1543
"1984Q3",1634
"1984Q4",1592
"1985Q1",1499
"1985Q2",1587
"1985Q3",1763
"1985Q4",1728
"1986Q1",1641
"1986Q2",1694
"1986Q3",1691
"1986Q4",1677
"1987Q1",1546
"1987Q2",1474
"1987Q3",1661
"1987Q4",1448
"1988Q1",1470
"1988Q2",1515
"1988Q3",1684
"1988Q4",1730
"1989Q1",1614
"1989Q2",1623
"1989Q3",1778
"1989Q4",1720
"1990Q1",1565
"1990Q2",1617
"1990Q3",1780
"1990Q4",1704
"1991Q1",1411
"1991Q2",1324
"1991Q3",1750
"1991Q4",1532
"1992Q1",1652
"1992Q2",1509
"1992Q3",1659

Quarterly production of raw steel in Australia: thousand tonnes. Mar 1956 ? Sep 1992

